sensor11|Thu Mar 09 2017 21:51:03 GMT+0100 (CET)|1489092663029| SendOk
sensor11|Thu Mar 09 2017 21:51:03 GMT+0100 (CET)|1489092663029| 
sensor11|Thu Mar 09 2017 21:51:17 GMT+0100 (CET)|1489092677375| wakeUp
server  |Thu Mar 09 2017 21:51:31 GMT+0100 (CET)|1489092691751| Sensor11StartSending
server  |Thu Mar 09 2017 21:51:31 GMT+0100 (CET)|1489092691753| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:51:31 GMT+0100 (CET)|1489092691760| got data from server
sensor11|Thu Mar 09 2017 21:51:31 GMT+0100 (CET)|1489092691768| start-s11
sensor11|Thu Mar 09 2017 21:51:31 GMT+0100 (CET)|1489092691769| got start command
sensor11|Thu Mar 09 2017 21:51:31 GMT+0100 (CET)|1489092691773| reset BME280
sensor11|Thu Mar 09 2017 21:51:31 GMT+0100 (CET)|1489092691783| got data from BME280
sensor11|Thu Mar 09 2017 21:51:31 GMT+0100 (CET)|1489092691784| 2381
sensor11|Thu Mar 09 2017 21:51:31 GMT+0100 (CET)|1489092691789| 4845
sensor11|Thu Mar 09 2017 21:51:31 GMT+0100 (CET)|1489092691789| 333
server  |Thu Mar 09 2017 21:51:35 GMT+0100 (CET)|1489092695722| Sensor11SendOk
server  |Thu Mar 09 2017 21:51:36 GMT+0100 (CET)|1489092696296| 2381|4845|333|323|11
sensor11|Thu Mar 09 2017 21:51:36 GMT+0100 (CET)|1489092696297| Sending data to server
sensor11|Thu Mar 09 2017 21:51:37 GMT+0100 (CET)|1489092697527| SendOk
sensor11|Thu Mar 09 2017 21:51:37 GMT+0100 (CET)|1489092697527| 
sensor11|Thu Mar 09 2017 21:51:51 GMT+0100 (CET)|1489092711992| wakeUp
server  |Thu Mar 09 2017 21:52:06 GMT+0100 (CET)|1489092726434| Sensor11StartSending
server  |Thu Mar 09 2017 21:52:06 GMT+0100 (CET)|1489092726437| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:52:06 GMT+0100 (CET)|1489092726444| got data from server
sensor11|Thu Mar 09 2017 21:52:06 GMT+0100 (CET)|1489092726452| start-s11
sensor11|Thu Mar 09 2017 21:52:06 GMT+0100 (CET)|1489092726452| got start command
sensor11|Thu Mar 09 2017 21:52:06 GMT+0100 (CET)|1489092726457| reset BME280
sensor11|Thu Mar 09 2017 21:52:06 GMT+0100 (CET)|1489092726467| got data from BME280
sensor11|Thu Mar 09 2017 21:52:06 GMT+0100 (CET)|1489092726467| 2388
sensor11|Thu Mar 09 2017 21:52:06 GMT+0100 (CET)|1489092726473| 4849
sensor11|Thu Mar 09 2017 21:52:06 GMT+0100 (CET)|1489092726473| 330
server  |Thu Mar 09 2017 21:52:10 GMT+0100 (CET)|1489092730425| Sensor11SendOk
server  |Thu Mar 09 2017 21:52:10 GMT+0100 (CET)|1489092730981| 2388|4849|330|323|11
sensor11|Thu Mar 09 2017 21:52:10 GMT+0100 (CET)|1489092730981| Sending data to server
sensor11|Thu Mar 09 2017 21:52:12 GMT+0100 (CET)|1489092732291| SendOk
sensor11|Thu Mar 09 2017 21:52:12 GMT+0100 (CET)|1489092732291| 
